OBJECTID,Ycoord,Xcoord,Status,Address,Chain,Category
16,41.973266000000002,-87.657072999999997,OPEN,"1051 W ARGYLE ST, CHICAGO, IL. 60640",VIET HOA PLAZA, 
18,41.696367000000002,-87.681314999999998,OPEN,"10800 S WESTERN AVE, CHICAGO, IL. 60643-3226",COUNTY FAIR FOODS, 
22,41.868634000000000,-87.638638000000000,OPEN,"1101 S CANAL ST, CHICAGO, IL. 60607-4932",WHOLE FOODS MARKET, 
23,41.877589999999998,-87.654953000000006,OPEN,"1101 W JACKSON BLVD, CHICAGO, IL. 60607-2905",TARGET/SUPER,new
27,41.737696000000000,-87.625794999999997,OPEN,"112 W 87TH ST, CHICAGO, IL. 60620-1318",FOOD 4 LESS, 
35,41.868392999999998,-87.631150000000005,OPEN,"1154 S CLARK ST, CHICAGO, IL. 60605-2159",TARGET, 
39,41.680641000000001,-87.662540000000007,OPEN,"11730 S MARSHFIELD AVE, CHICAGO, IL. 60643-4904",JEWEL OSCO, 
43,41.678632999999998,-87.662514000000002,OPEN,"11840 S MARSHFIELD AVE, CHICAGO, IL. 60643-4902",TARGET,new
46,41.904220000000002,-87.643964999999994,OPEN,"1200 N LARRABEE ST, CHICAGO, IL.",TARGET/SUPER,new
52,41.904012999999999,-87.631568000000001,OPEN,"1210 N CLARK ST, CHICAGO, IL. 60610",JEWEL OSCO, 
56,41.865667999999999,-87.667634000000007,OPEN,"1220 S ASHLAND AVE, CHICAGO, IL. 60608-1402",JEWEL OSCO, 
57,41.866607999999999,-87.626118000000005,OPEN,"1224 S WABASH AVE, CHICAGO, IL. 60605-2401",JEWEL OSCO, 
58,41.799463000000003,-87.596114000000000,OPEN,"1226 E 53RD ST, CHICAGO, IL. 60615-4008",HYDE PARK PRODUCE LMT,confirmed
87,41.864865000000002,-87.639266000000006,OPEN,"1340 S CANAL ST, CHICAGO, IL. 60607-5208",DOMINICK'S, 
88,41.906559999999999,-87.669388999999995,OPEN,"1341 N PAULINA ST, CHICAGO, IL. 60622-2145",JEWEL OSCO, 
