OBJECTID,Ycoord,Xcoord,Status,Address,Chain,Category
100,41.735523999999998,-87.658901999999998,OPEN,"1411 W 87TH ST, CHICAGO, IL. 60620-4013",PETE'S PRODUCE, 
103,41.808660000000003,-87.660979999999995,OPEN,"1424 W 47TH ST, CHICAGO, IL. 60609-3232",WALMART NEIGHBORHOOD MARKET,new
104,41.998131000000001,-87.667074000000000,OPEN,"1440 W DEVON AVE, CHICAGO, IL. 60660-1326",DEVON MARKET, 
121,41.802441000000002,-87.588207999999995,OPEN,"1521 E HYDE PARK BLVD, CHICAGO, IL. 60615",LEAMINGTON FOODS, 
123,41.910398999999998,-87.631253000000001,OPEN,"1525 N CLARK ST, CHICAGO, IL. 60610",POTASH BROTHERS, 
124,41.795381999999996,-87.589282999999995,OPEN,"1526 E 55TH ST, CHICAGO, IL. 60615-5527",TREASURE ISLAND FOODS, 
129,41.908351000000003,-87.652545000000003,OPEN,"1550 N KINGSBURY ST, CHICAGO, IL. 60642-2532",WHOLE FOODS MARKET, 
143,41.912018000000003,-87.634591000000000,OPEN,"1639 N WELLS ST, CHICAGO, IL. 60614",TREASURE ISLAND FOODS, 
146,41.722352999999998,-87.582637000000005,OPEN,"1655 E 95TH ST, CHICAGO, IL. 60617-4707",JEWEL OSCO, 
154,41.808318000000000,-87.667578000000006,OPEN,"1701 W 47TH ST, CHICAGO, IL. 60609",SUPER MERCADO EL GUERRO, 
155,41.852213999999996,-87.669224999999997,OPEN,"1711 W CERMAK RD, CHICAGO, IL. 60608",CERMAK PRODUCE 7, 
161,41.898815999999997,-87.623025999999996,OPEN_NEW LOCATION,"175 E DELAWARE, CHICAGO, IL.",POTASH BROTHERS, 
173,41.857419000000000,-87.661911000000003,OPEN,"1810 S BLUE ISLAND AVE, CHICAGO, IL. 60608",LA CASA DEL PUEBLO, 
180,41.835521999999997,-87.673536999999996,OPEN,"1940 W 33RD ST, CHICAGO, IL. 60608-6107",TARGET, 
202,41.852603999999999,-87.653889000000007,OPEN,"2101 W CERMAK RD, CHICAGO, IL. 60608-4005",SUPER MERCADO EL GUERO,new
205,41.920124000000001,-87.661889000000002,OPEN,"2121 N CLYBOURN, CHICAGO, IL. 60614-4031",TREASURE ISLAND FOODS, 
208,41.853119000000000,-87.680578999999994,OPEN,"2158 W 21ST PL, CHICAGO, IL.",SUPERMERCADO GONZALEZ,new
213,41.851757999999997,-87.685822999999999,OPEN,"2200 S WESTERN AVE, CHICAGO, IL. 60608-3816",FAIRPLAY FINER FOODS, 
220,41.896268999999997,-87.635330999999994,OPEN,"225 W CHICAGO AVE, CHICAGO, IL. 60654-5606",WALMART EXPRESS,new
227,41.691775000000000,-87.679824999999994,OPEN,"2323 W 111TH ST, CHICAGO, IL. 60643-3923",FAIRPLAY FINER FOODS, 
235,41.924781000000003,-87.806882000000002,OPEN,"2400 N HARLEM AVE, ELMWOOD PARK, IL. 60707-2046",LEAMINGTON FOODS,new
238,41.848439999999997,-87.641692000000006,OPEN,"2425 S WALLACE ST, CHICAGO, IL. 60616-1855",HONG KONG ORIENTAL DELICACIES,new
239,41.846662999999999,-87.675393999999997,OPEN_NEW OWNER,"2455 S DAMEN AVE, CHICAGO, IL. 60608-5233",CERMAK PRODUCE 11, 
240,42.020857999999997,-87.707749000000007,OPEN,"2485 HOWARD ST, EVANSTON, IL. 60202-3638",JEWEL OSCO, 
241,41.925812000000001,-87.766081999999997,OPEN,"2500 N CENTRAL AVE, CHICAGO, IL. 60639",TONY'S FINER FOODS, 
245,41.926605000000002,-87.786427000000003,OPEN,"2520 N NARRAGANSETT AVE, CHICAGO, IL. 60639-1041",JEWEL OSCO, 
246,41.847383999999998,-87.678291999999999,OPEN,"2525 S BLUE ISLAND AVE, CHICAGO, IL. 60608-4819",FRESH FARMS INTERNATIONAL MARKET,new
248,41.853273000000002,-87.689639000000000,OPEN,"2526 W CERMAK RD, CHICAGO, IL. 60608-3710",PETE'S FRESH MARKET, 
250,41.927629000000003,-87.674516999999994,OPEN,"2550 N CLYBOURN AVE, CHICAGO, IL. 60614",JEWEL OSCO, 
251,41.853185000000003,-87.689592000000005,OPEN,"2551 W CERMAK RD, CHICAGO, IL. 60608-3719",WALMART NEIGHBORHOOD MARKET,new
255,41.997900999999999,-87.695717999999999,OPEN_NEW LOCATION,"2626 W DEVON AVE, CHICAGO, IL.",FRESH FARMS INTERNATIONAL MARKET, 
256,41.929814000000000,-87.681871999999998,OPEN,"2627 N ELSTON AVE, CHICAGO, IL. 60647-2018",STRACK AND VAN TIL, 
257,41.968829999999997,-87.695251999999996,OPEN,"2632 W LAWRENCE AVE, CHICAGO, IL. 60625-2945",HARVESTIME FOODS, 
258,41.842928000000001,-87.724495000000005,OPEN,"2637 S PULASKI RD, CHICAGO, IL. 60623","LA CHIQUITA, SUPERMERCADO", 
259,41.928766000000003,-87.684658999999996,OPEN,"2656 N ELSTON AVE, CHICAGO, IL. 60647-2019",TARGET, 
263,41.909849000000001,-87.694884999999999,OPEN,"2701 W NORTH AVE, CHICAGO, IL. 60647-5236",Cermak Produce, 
272,41.933973000000002,-87.644447999999997,OPEN,"2844 N BROADWAY ST, CHICAGO, IL. 60657-6017",WALMART NEIGHBORHOOD MARKET,new
278,41.917284000000002,-87.699619999999996,OPEN_NEW LOCATION,"2901 W ARMITAGE AVE, CHICAGO, IL. 60647-3918",FOOD SMART, 
279,41.946660000000001,-87.701431999999997,OPEN,"2939 W ADDISON ST, CHICAGO, IL. 60618-4635",TARGET, 
280,41.935439000000002,-87.669985999999994,OPEN,"2940 N ASHLAND AVE, CHICAGO, IL. 60657-4004",JEWEL OSCO, 
284,41.895020000000002,-87.629069000000001,OPEN,"30 W HURON ST, CHICAGO, IL. 60654-6402",WHOLE FOODS MARKET, 
298,41.706254000000001,-87.700157000000004,OPEN,"3128 W 103RD ST, CHICAGO, IL. 60655-2010",JEWEL OSCO,new
301,41.997160999999998,-87.709958999999998,OPEN_NEW LOCATION,"3201 W DEVON AVE, CHICAGO, IL.",CITY FRESH MARKET - CHICAGO FRENCH, 
305,41.735295000000001,-87.704207999999994,OPEN,"3250 W 87TH ST, CHICAGO, IL.",ULTRA FOODS, 
308,41.941875000000003,-87.669514000000007,OPEN,"3300 N ASHLAND AVE, CHICAGO, IL. 60657-2109",WHOLE FOODS MARKET, 
309,41.778820000000003,-87.706315000000004,OPEN,"3307 W 63RD ST, CHICAGO, IL. 60629-3316",RIO VALLEY MARKET, 
310,41.843955000000001,-87.708246000000003,OPEN_NEW OWNER,"3311 W 26TH ST, CHICAGO, IL. 60623",CERMAK PRODUCE 9, 
312,41.917355999999998,-87.711669000000001,OPEN,"3334 W ARMITAGE AVE, CHICAGO, IL. 60647-3718",ARMITAGE PRODUCE,new
314,41.943389000000003,-87.687945999999997,OPEN,"3400 N WESTERN AVE, CHICAGO, IL. 60618-6012",JEWEL OSCO, 
316,41.931956000000000,-87.712890999999999,OPEN_NEW LOCATION,"3415 W DIVERSEY AVE, CHICAGO, IL. 60647-1220",FOOD SMART, 
317,41.866647999999998,-87.711437000000004,OPEN,"3420 W ROOSEVELT RD, CHICAGO, IL. 60624",LEAMINGTON FOODS,new
319,41.831119000000001,-87.676158999999998,OPEN,"3435 S ARCHER, CHICAGO, IL.",CERMAK PRODUCE 5,new
321,41.944882000000000,-87.645758999999998,OPEN,"3460 N BROADWAY ST, CHICAGO, IL. 60657-2599",TREASURE ISLAND FOODS, 
323,41.968640000000001,-87.716177000000002,OPEN,"3500 W LAWRENCE AVE, CHICAGO, IL. 60625-5612",CHICAGO PRODUCE, 
324,41.946612000000002,-87.646546999999998,OPEN,"3531 N BROADWAY ST, CHICAGO, IL. 60657-1899",JEWEL OSCO, 
325,41.945889999999999,-87.707843999999994,OPEN,"3570 N ELSTON AVE, CHICAGO, IL. 60618-4318",JEWEL OSCO, 
326,41.924292999999999,-87.717599000000007,OPEN,"3607 W FULLERTON AVE, CHICAGO, IL. 60647-2318",TONY'S FINER FOODS, 
327,41.948020000000000,-87.664218000000005,OPEN,"3630 N SOUTHPORT AVE, CHICAGO, IL. 60613",JEWEL OSCO, 
328,41.948472000000002,-87.649871000000005,OPEN,"3640 N HALSTED ST, CHICAGO, IL. 60613-4316",WHOLE FOODS MARKET, 
329,41.827886999999997,-87.682111000000006,OPEN,"3644 S ARCHER AVE, CHICAGO, IL. 60609-1044",JEWEL OSCO, 
330,41.889212999999998,-87.644683000000001,OPEN,"370 N DES PLAINES ST, CHICAGO, IL. 60661-1106",JEWEL OSCO, 
336,41.924590999999999,-87.723650000000006,OPEN,"3850 W FULLERTON AVE, CHICAGO, IL. 60647-2246",CARNICERIAS JIMENEZ, 
337,41.910221999999997,-87.723271999999994,OPEN_NEW OWNER,"3850 W NORTH AVE, CHICAGO, IL. 60647",Carnicerias Jimenez, 
341,41.843997000000002,-87.723609999999994,OPEN,"3937 W 26TH ST, CHICAGO, IL. 60623-3706",EL RANCHITO SUPERMERCADO,new
349,41.820321000000000,-87.693471000000002,OPEN,"4023 S ARCHER AVE, CHICAGO, IL. 60632-1139",SUPER MERCADO EL GUERO, 
351,41.975532999999999,-87.729804000000001,OPEN,"4042 W FOSTER AVE, CHICAGO, IL. 60630-2747",JEWEL OSCO, 
354,41.955911999999998,-87.747566000000006,OPEN,"4118 N CICERO AVE, CHICAGO, IL. 60641-1808",FAMILY FRUIT MARKET, 
356,41.956192999999999,-87.722235999999995,OPEN,"4137 N ELSTON AVE, CHICAGO, IL. 60618",TONY'S FINER FOODS, 
358,41.957144999999997,-87.724720000000005,OPEN,"4194 N ELSTON AVE, CHICAGO, IL. 60618-1829",NEW POP-IN,new
362,41.958244000000001,-87.708488000000003,OPEN,"4234 N KEDZIE, CHICAGO, IL. 60625",CERMAK PRODUCE 6, 
363,41.959024999999997,-87.682558000000000,OPEN,"4250 N LINCOLN AVE, CHICAGO, IL. 60618-2902",JEWEL OSCO, 
364,41.813814999999998,-87.722789000000006,OPEN,"4343 S PULASKI RD, CHICAGO, IL. 60632-4008",PETE'S FRESH MARKET, 
365,41.961706999999997,-87.654058000000006,OPEN,"4355 N SHERIDAN RD, CHICAGO, IL. 60613-1497",JEWEL OSCO, 
369,41.832884999999997,-87.623452999999998,OPEN,"443 E 34TH ST, CHICAGO, IL. 60616-4135",JEWEL OSCO, 
371,41.812716999999999,-87.723673000000005,OPEN,"4433 S PULASKI RD, CHICAGO, IL. 60632-4010",TARGET, 
373,41.963130999999997,-87.656351999999998,OPEN,"4466 N BROADWAY ST, CHICAGO, IL. 60640-5660",TARGET, 
380,41.940227000000000,-87.742735999999994,OPEN,"4608 W BELMONT AVE, CHICAGO, IL. 60641-4401",TONY'S FINER FOODS, 
381,41.809407999999998,-87.677231000000006,OPEN,"4620 S DAMEN AVE, CHICAGO, IL. 60609-4043",FOOD 4 LESS, 
382,41.809936999999998,-87.645572000000001,OPEN,"4640 S HALSTED ST, CHICAGO, IL. 60609",FAIRPLAY FINER FOODS, 
387,41.911070000000002,-87.742873000000003,OPEN,"4650 W NORTH AVE, CHICAGO, IL. 60639-4611",Wal-Mart SuperCenter, 
388,41.953536000000000,-87.745196000000007,OPEN,"4660 W IRVING PARK RD, CHICAGO, IL. 60641-2888",JEWEL OSCO, 
391,41.807563000000002,-87.705056999999996,OPEN,"4700 S KEDZIE, CHICAGO, IL. 60632",PETE'S FRESH MARKET, 
393,41.967471000000003,-87.767045999999993,OPEN,"4729 N CENTRAL AVE, CHICAGO, IL. 60630-3269",JEWEL OSCO, 
402,41.909540999999997,-87.746898000000002,OPEN,"4821 W NORTH AVE, CHICAGO, IL. 60639-4529",Food 4 Less, 
403,41.931260999999999,-87.748188999999996,OPEN,"4833 W DIVERSEY AVE, CHICAGO, IL.",MORELIA SUPERMARKET,new
413,41.972085999999997,-87.728486000000004,OPEN,"5002 N PULASKI, CHICAGO, IL.",GRAND MART INTERNATIONAL FOOD,new
421,41.797984000000000,-87.724590000000006,OPEN,"5220 S PULSKI RD, CHICAGO, IL. 60632",CERMAK PRODUCE 8, 
422,41.799039000000000,-87.738538000000005,OPEN,"5275 S ARCHER, CHICAGO, IL. 60632",BOBAK SAUSAGE COMPANY, 
425,41.795941999999997,-87.723429999999993,OPEN,"5320 S PULASKI RD, CHICAGO, IL. 60632-4270",JEWEL OSCO, 
426,41.979424999999999,-87.659953000000002,OPEN,"5343 N BROADWAY ST, CHICAGO, IL. 60640-2311",JEWEL OSCO, 
428,41.960509999999999,-87.762884000000000,OPEN_NEW LOCATION,"5411 W MONTROSE AVE, CHICAGO, IL.",MONTROSE FOOD MART AND DELI, 
432,41.892183000000003,-87.628272999999993,OPEN,"550 N STATE ST, CHICAGO, IL. 60654-4815",JEWEL OSCO, 
435,41.982644999999998,-87.668978999999993,OPEN,"5516 N CLARK ST, CHICAGO, IL. 60640-1214",JEWEL OSCO, 
442,41.938934000000003,-87.767957999999993,OPEN,"5630 W BELMONT AVE, CHICAGO, IL.",A & G FRESH MARKET,new
444,41.880763000000002,-87.642426000000000,OPEN,"570 W MONROE ST, CHICAGO, IL. 60661-3617",WALMART NEIGHBORHOOD MARKET,new
446,41.789203999999998,-87.703424999999996,OPEN,"5724 S KEDZIE AVE, CHICAGO, IL. 60629-2408",PETE'S FRESH MARKET, 
448,41.786842000000000,-87.723186999999996,OPEN,"5806 S PULASKI RD, CHICAGO, IL. 60629",WEST LAWN FINER FOODS, 
449,41.879803000000003,-87.770618999999996,OPEN,"5817 W MADISON ST, CHICAGO, IL. 60644-3840",Mario's Food Center, 
450,41.796067000000001,-87.759669000000002,OPEN,"5829 S ARCHER AVE, CHICAGO, IL. 60638",SHOP & SAVE MARKET, 
451,41.786613000000003,-87.723354000000000,OPEN,"5838 S PULASKI RD, CHICAGO, IL. 60629",JEWEL OSCO, 
457,41.990628000000001,-87.748588999999996,OPEN,"6020 N CICERO AVE, CHICAGO, IL. 60646-4302",WHOLE FOODS MARKET, 
459,41.793076999999997,-87.769749000000004,OPEN,"6107 S ARCHER AVE, CHICAGO, IL. 60638-2743",JEWEL OSCO, 
461,41.938149000000003,-87.779786999999999,OPEN,"6125 W BELMONT AVE, CHICAGO, IL. 60634-4004",JEWEL OSCO,new
468,41.779715000000003,-87.614061000000007,OPEN,"6319 S VERNON AVE, CHICAGO, IL.",SUPER SALE FOODS,new
469,41.998047000000000,-87.763069000000002,OPEN,"6415 N CENTRAL AVE, CHICAGO, IL. 60646",HAPPY FOODS, 
470,41.777937000000001,-87.782399999999996,OPEN,"6422 W 63RD ST, CHICAGO, IL. 60638-5004",FAIR SHARE FOODS INC, 
471,41.952990000000000,-87.787476999999996,OPEN,"6430 W IRVING PARK RD, CHICAGO, IL. 60634-2459",JEWEL OSCO, 
475,41.929986999999997,-87.789137999999994,OPEN,"6525 W DIVERSEY AVE, CHICAGO, IL. 60707-2312",TARGET, 
478,41.952820000000003,-87.791904000000002,OPEN,"6601 W IRVING PARK RD, CHICAGO, IL. 60634-2679",MONTROSE FOOD MART AND DELI, 
480,42.004488000000002,-87.818269000000001,OPEN,"6783 N NORTHWEST HWY, CHICAGO, IL. 60631-1264",HAPPY FOODS, 
482,41.894640000000003,-87.615941000000007,OPEN,"680 N LAKE SHORE DR, CHICAGO, IL. 60611-4447",TREASURE ISLAND FOODS, 
487,41.765163999999999,-87.664702000000005,OPEN,"7030 S ASHLAND AVE, CHICAGO, IL. 60636",FOOD 4 LESS, 
492,41.945039000000001,-87.804993999999994,OPEN_NEW LOCATION,"7141 W ADDISON ST, CHICAGO, IL.",SUPER H MARKET, 
500,42.014203000000002,-87.690616000000006,OPEN,"7300 N WESTERN AVE, CHICAGO, IL.",JEWEL OSCO,new
503,41.974544000000002,-87.809867999999994,OPEN,"7342 W FOSTER AVE, CHICAGO, IL. 60656-3617",JEWEL OSCO, 
507,41.903120999999999,-87.630841000000004,OPEN,"75 W ELM ST, CHICAGO, IL. 60610-2789",TREASURE ISLAND FOODS, 
515,41.758744999999998,-87.586422999999996,OPEN_MK,"7530 S STONY ISLAND AVE, CHICAGO, IL. 60649-3999",Jewel-Osco, 
527,41.895556999999997,-87.706556000000006,OPEN,"800 N KEDZIE AVE, CHICAGO, IL. 60651-4100",Market Fresh Foods,new
542,41.740462999999998,-87.633078999999995,OPEN,"8331 S STEWART AVE, CHICAGO, IL. 60620-1728",WAL-MART SUPERCENTER,new
552,41.738883999999999,-87.606763999999998,OPEN,"8560 S COTTAGE GROVE AVE, CHICAGO, IL. 60619-6116",TARGET, 
557,41.898814999999999,-87.622979000000001,OPEN,"875 N MICHIGAN AVE, CHICAGO, IL. 60611-1825",VALLI PRODUCE,new
558,41.902292000000003,-87.628201000000004,OPEN,"875 N STATE ST, CHICAGO, IL. 60610-3307",POTASH BROTHERS,new
577,41.721279000000003,-87.663077999999999,OPEN,"9400 S ASHLAND AVE, CHICAGO, IL. 60620-5121",JEWEL OSCO, 
580,41.979632000000002,-87.757480000000001,NewLocation,"5353 N Elston Ave, Chicago, IL 60630",Mariano's, 
581,41.976779999999998,-87.654843000000000,NewLocation,"5201 N Sheridan Rd, Chicago, IL 60640",Mariano's, 
582,41.969130999999997,-87.674881999999997,Chicago-Ravenswood,"1800 W Lawrence Ave, Chicago, IL 60640",Mariano's, 
583,41.895750000000000,-87.678331000000000,Chicago-Ukrainian Village,"2021 W Chicago Ave, Chicago, IL 60622",Mariano's, 
584,41.885373999999999,-87.618913000000006,Chicago-Lakeshore East,"333 E Benton Pl, Chicago, IL 60601",Mariano's, 
585,41.880834000000000,-87.647728999999998,Chicago-West Loop,"40 S Halsted St, Chicago, IL 60661",Mariano's, 
586,41.920842000000000,-87.669111999999998,NewLocation,"2112 N Ashland Ave, Chicago IL 60614",Mariano's, 
587,41.835929999999998,-87.664034000000001,Chicago-Bridgeport,"3145 S Ashland Ave, Chicago, IL 60608",Mariano's, 
588,41.859369999999998,-87.630061999999995,Chicago-South Loop,"1615 S Clark St, Chicago, IL 60616",Mariano's, 
600,41.696869000000000,-87.599163000000004,New Location,"10900 S Doty Ave, Chicago IL 60628",Pullman Walmart Center, 
